track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,danceability_perc,energy_perc,,,bpm,Average of energy_%,,,,,,,Column1,Column2,Column3,Column4,Column5,Column6,Column7,,,,,released_year,Average of streams
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,1,52,129,63,82,,,158,70.38,,,,,,,,,,,,,,,,,,,
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,57,97,98,71,60,,,160,67.90,,,,,,,,,,,,,,,,,,,
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,29,76,172,74,76,,,161,56.00,,,,,,,,,,,,,,,,,,,
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,28,89,150,68,76,,,162,61.67,,,,,,,,,,,,,,,,,,,
Don't Bl,Taylor Swift,1,2017,11,8,4875,23,685032533,19,45,136,62,53,,,163,67.00,,,,,,,,,,,,,,,,,,,
Still With You,Jung Kook,1,2020,6,5,31,39,38411956,2,107,88,53,47,,,164,58.25,,,,,,,,,,,,,,,,,,,
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,69,145,143,83,44,,,165,48.00,,,,,,,,,,,,,,,,,,,
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,49,105,100,49,35,,,166,60.71,,,,,,,,,,,,,,,,,,,
Snooze,SZA,1,2022,12,9,2839,25,399686758,58,156,143,56,55,,,168,69.00,,,,,,,,,,,,,,,,,,,
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,89,143,112,56,66,,,169,48.00,,,,,,,,,,,,,,,,,,,
Take Two,BTS,1,2023,6,9,674,47,118482347,20,106,93,62,59,,,170,60.06,,,,,,,,,,,,,,,,,,,
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184,160,110,206,43,55,,,171,79.33,,,,,,,,,,,,,,,,,,,
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165,17,119,88,68,71,,,172,73.14,,,,,,,,,,,,,,,,,,,
Chemical,Post Malone,1,2023,4,14,2528,39,172825906,56,91,170,50,90,,,173,49.33,,,,,,,,,,,,,,,,,,,
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043,49,98,84,62,67,,,174,66.88,,,,,,,,,,,,,,,,,,,
New Jeans,NewJeans,1,2023,7,7,77,35,29562220,8,166,134,81,72,,,175,49.00,,,,,,,,,,,,,,,,,,,
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611,6,40,158,54,40,,,176,64.17,,,,,,,,,,,,,,,,,,,
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506,384,135,116,80,80,,,177,23.00,,,,,,,,,,,,,,,,,,,
Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633,41,100,117,61,69,,,178,73.67,,,,,,,,,,,,,,,,,,,
Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900,98,108,114,77,72,,,179,51.00,,,,,,,,,,,,,,,,,,,
Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694,88,112,108,61,68,,,180,67.55,,,,,,,,,,,,,,,,,,,
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526,69,113,144,74,53,,,181,60.00,,,,,,,,,,,,,,,,,,,
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294,7,6,130,51,44,,,182,59.00,,,,,,,,,,,,,,,,,,,
LAGUNAS,"Jasiel Nuñez, Peso P",2,2023,6,22,58,18,39058561,2,106,116,77,62,,,183,69.50,,,,,,,,,,,,,,,,,,,
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123,21,52,121,65,78,,,184,63.00,,,,,,,,,,,,,,,,,,,
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614,101,32,112,64,81,,,186,60.00,,,,,,,,,,,,,,,,,,,
No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570,80,65,100,70,52,,,188,50.00,,,,,,,,,,,,,,,,,,,
Tattoo,Loreen,1,2023,2,25,2988,59,201660859,74,102,150,55,78,,,189,44.00,,,,,,,,,,,,,,,,,,,
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961,19,23,120,84,71,,,192,52.00,,,,,,,,,,,,,,,,,,,
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34,90839753,40,58,127,82,85,,,196,79.00,,,,,,,,,,,,,,,,,,,
august,Taylor Swift,1,2020,7,24,7324,22,607123776,25,81,90,51,61,,,198,42.00,,,,,,,,,,,,,,,,,,,
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345,19,117,128,75,63,,,200,77.00,,,,,,,,,,,,,,,,,,,
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784,161,115,143,64,87,,,202,55.50,,,,,,,,,,,,,,,,,,,
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938,69,12,139,74,68,,,204,68.00,,,,,,,,,,,,,,,,,,,
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762,21,110,162,49,64,,,206,50.00,,,,,,,,,,,,,,,,,,,
Por las Noches,Peso Pluma,1,2021,6,11,457,24,330346424,8,116,92,81,60,,,Grand Total,64.28,,,,,,,,,,,,,,,,,,,
Feliz Cumpleaéos Fe,Feid,1,2022,8,19,3430,38,601863821,45,69,95,87,55,,,,,,,,,,,,,,,,,,,,,,,
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1953533826,201,44,146,63,93,,,,,,,,,,,,,,,,,,,,,,,
Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,2322580122,437,115,95,55,82,,,,,,,,,,,,,,,,,,,,,,,
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893,221,96,115,35,30,,,,,,,,,,,,,,,,,,,,,,,
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503,25,59,128,78,65,,,,,,,,,,,,,,,,,,,,,,,
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746,10,126,130,82,83,,,,,,,,,,,,,,,,,,,,,,,
OMG,NewJeans,1,2023,1,2,1783,27,430977451,26,124,127,80,77,,,,,,,,,,,,,,,,,,,,,,,
Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874,24,122,150,42,86,,,,,,,,,,,,,,,,,,,,,,,
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598,119,108,122,78,63,,,,,,,,,,,,,,,,,,,,,,,
505,Arctic Monkeys,1,2007,4,20,13985,25,1217120710,30,80,140,52,85,,,,,,,,,,,,,,,,,,,,,,,
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132,31,37,140,63,54,,,,,,,,,,,,,,,,,,,,,,,
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178,24,90,119,75,53,,,,,,,,,,,,,,,,,,,,,,,
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632,3,88,110,76,72,,,,,,,,,,,,,,,,,,,,,,,
Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074,7,0,95,60,45,,,,,,,,,,,,,,,,,,,,,,,
Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126,82,55,132,56,55,,,,,,,,,,,,,,,,,,,,,,,
Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133,250,121,125,77,78,,,,,,,,,,,,,,,,,,,,,,,
Novo Balanço,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253,6,9,124,84,50,,,,,,,,,,,,,,,,,,,,,,,
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641,5,2,133,93,65,,,,,,,,,,,,,,,,,,,,,,,
Without Me,Eminem,1,2002,1,1,21081,43,1687664027,98,76,112,92,66,,,,,,,,,,,,,,,,,,,,,,,
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,11599388,17,29,97,79,89,,,,,,,,,,,,,,,,,,,,,,,
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552,13,8,90,59,48,,,,,,,,,,,,,,,,,,,,,,,
Ojitos Lindos,"BombaEstéreo, Bad B",2,2022,5,6,6135,38,1133865788,71,113,80,65,69,,,,,,,,,,,,,,,,,,,,,,,
Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494,107,69,172,45,59,,,,,,,,,,,,,,,,,,,,,,,
Those Eyes,New West,1,2019,5,10,1507,14,411747614,24,71,120,60,35,,,,,,,,,,,,,,,,,,,,,,,
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395,7,71,140,74,80,,,,,,,,,,,,,,,,,,,,,,,
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544,7,76,128,81,77,,,,,,,,,,,,,,,,,,,,,,,
Bye,Peso Pluma,1,2023,5,26,324,14,95053634,13,110,122,78,81,,,,,,,,,,,,,,,,,,,,,,,
Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1,17138,37,1279434863,119,81,130,47,92,,,,,,,,,,,,,,,,,,,,,,,
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632,14,88,160,69,71,,,,,,,,,,,,,,,,,,,,,,,
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,1481349984,0,0,144,73,70,,,,,,,,,,,,,,,,,,,,,,,
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275,4,14,192,50,52,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,27,618885532,81,121,163,54,67,,,,,,,,,,,,,,,,,,,,,,,
Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183,179,97,122,66,71,,,,,,,,,,,,,,,,,,,,,,,
Ghost,Justin Bieber,1,2021,3,19,5866,24,1167330737,107,38,154,61,74,,,,,,,,,,,,,,,,,,,,,,,
Under The Influence,Chris Brown,1,2019,10,4,3859,26,929964809,133,181,117,73,69,,,,,,,,,,,,,,,,,,,,,,,
